store,title,brand,series,model,cpu,ram_gb,storage_gb,price_ils,deal_price_ils,deal_label,storage_type,ram_type,upgradability_score,warranty_months,stock_status,url,gpu,is_touch,is_2in1,image_url,screen_size_in,weight_kg,battery_wh,ram_gen,ram_source,screen_source,weight_source,battery_source,confidence_level
LaptopTech LTS,Hp 255 G5 15 6 Amd 8G 128G,HP,Business Series,Hp 255 G5 15 6 Amd 8G 128G,AMD Ryzen,8,128,800,800,800 ₪,"🐢 2.5"" SATA SSD / Bay",2x SODIMM Slots,8.0,12,🟢 In Stock,https://lts.co.il/פריט/hp-255-g5-15-6-amd-8g-128g/,Integrated,False,False,,15.6,1.85,41,DDR4,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Hp 255 G7 15 6 I5 8G 250G,HP,Business Series,Hp 255 G7 15 6 I5 8G 250G,Core i5 (10th Gen),8,250,1400,1400,"1,400 ₪",⚡ M.2 2280 PCIe NVMe (Swappable),Modular / Semi-Modular,7.5,12,🟢 In Stock,https://lts.co.il/פריט/hp-255-g7-15-6-i5-8g-250g/,Integrated,False,False,,15.6,1.85,54,DDR4,chassis_decoder,listing_explicit,chassis_decoder,fallback_estimate,verified
LaptopTech LTS,Hp Elitebook 840 G3 14 I5 8GB 250GB,HP,EliteBook,Hp Elitebook 840 G3 14 I5 8GB 250GB,Core i5 (6th Gen),8,250,800,800,800 ₪,⚡ M.2 2280 PCIe NVMe (Swappable),2x SODIMM Slots (up to 64GB),9.0,12,🟢 In Stock,https://lts.co.il/פריט/hp-elitebook-840-g3-14-i5-8gb-250gb/,Integrated,False,False,,14.0,1.4,45,DDR4,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Lenovo Ideapad 330 15IKB 15 6 I7 12G 250G,Lenovo,IdeaPad,Lenovo Ideapad 330 15IKB 15 6 I7 12G 250G,Core i7 (8th Gen),12,250,1300,1300,"1,300 ₪",⚡ M.2 2280 PCIe NVMe (Swappable),Modular / Semi-Modular,7.5,12,🟢 In Stock,https://lts.co.il/פריט/lenovo-ideapad-330-15ikb-15-6-i7-12g-250g/,Integrated,False,False,,15.6,1.85,41,DDR4,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Lenovo Ideapad Gaming 3 15IHU6 15 6 Amd 16G 500G,Lenovo,IdeaPad,Lenovo Ideapad Gaming 3 15IHU6 15 6 Amd 16G 500G,AMD Ryzen,16,500,2000,2000,"2,000 ₪",⚡ M.2 2280 PCIe NVMe (Swappable),Modular / Semi-Modular,7.5,12,🟢 In Stock,https://lts.co.il/פריט/lenovo-ideapad-gaming-3-15ihu6-15-6-amd-16g-500g/,Integrated,False,False,,15.6,2.25,54,DDR4,chassis_decoder,listing_explicit,chassis_decoder,fallback_estimate,verified
LaptopTech LTS,Lenovo Thinkpad P15S Gen 2 15 6 I7 16G 500G,Lenovo,ThinkPad,Lenovo Thinkpad P15S Gen 2 15 6 I7 16G 500G,Core i7 (11th Gen),16,500,3600,3600,"3,600 ₪",⚡ Dual M.2 PCIe NVMe Slots,2x SODIMM Slots (up to 64GB),9.5,12,🟢 In Stock,https://lts.co.il/פריט/lenovo-thinkpad-p15s-gen-2-15-6-i7-16g-500g/,NVIDIA Quadro P520,False,False,,15.6,1.75,51,DDR4,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Lenovo Thinkpad X1 Carbon Touch 14 I7 16G 1TB,Lenovo,ThinkPad,Lenovo Thinkpad X1 Carbon Touch 14 I7 16G 1TB,Core i7 (8th Gen),16,1000,3000,3000,"3,000 ₪",⚡ M.2 2280 PCIe NVMe (Swappable),Soldered (Fixed),5.0,12,🟢 In Stock,https://lts.co.il/פריט/lenovo-thinkpad-x1-carbon-touch-14-i7-16g-1tb/,Integrated,True,False,,14.0,1.1,57,LPDDR4x,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Macbook Air A1466 15 4 I5 4G 250G,Apple,MacBook,Macbook Air A1466 15 4 I5 4G 250G,Core i5 (5th Gen),4,250,1100,1100,"1,100 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-air-a1466-15-4-i5-4g-250g/,Integrated,False,False,,15.4,1.8,54,DDR3L,chassis_decoder,listing_explicit,fallback_estimate,fallback_estimate,estimated
LaptopTech LTS,Macbook Air A2337 13 3 M1 8G 250G 2,Apple,MacBook,Macbook Air A2337 13 3 M1 8G 250G 2,Apple M1,8,250,2300,2300,"2,300 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-air-a2337-13-3-m1-8g-250g-2/,Integrated,False,False,,13.3,1.28,49,Unified LPDDR4x,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Macbook Pro A1706 13 3 I7 16G 500G 3,Apple,MacBook,Macbook Pro A1706 13 3 I7 16G 500G 3,Core i7 (7th Gen),16,500,2900,2900,"2,900 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-pro-a1706-13-3-i7-16g-500g-3/,Integrated,False,False,,13.3,1.4,49,LPDDR4,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Macbook Pro A1706 13 I5 8G 250G,Apple,MacBook,Macbook Pro A1706 13 I5 8G 250G,Core i5 (7th Gen),8,250,2600,2600,"2,600 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-pro-a1706-13-i5-8g-250g/,Integrated,False,False,,13.3,1.4,49,LPDDR4,chassis_decoder,chassis_decoder,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Macbook Pro A1707 15 4 I7 16G 250G,Apple,MacBook,Macbook Pro A1707 15 4 I7 16G 250G,Core i7 (7th Gen),16,250,3100,3100,"3,100 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-pro-a1707-15-4-i7-16g-250g/,Integrated,False,False,,15.4,1.75,54,LPDDR4,chassis_decoder,listing_explicit,chassis_decoder,fallback_estimate,verified
LaptopTech LTS,Macbook Pro A1708 13 3 I5 8G 250G 2,Apple,MacBook,Macbook Pro A1708 13 3 I5 8G 250G 2,Core i5 (7th Gen),8,250,2600,2600,"2,600 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-pro-a1708-13-3-i5-8g-250g-2/,Integrated,False,False,,13.3,1.4,49,LPDDR4,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Macbook Pro A1708 13 3 I5 8G 250G,Apple,MacBook,Macbook Pro A1708 13 3 I5 8G 250G,Core i5 (7th Gen),8,250,2600,2600,"2,600 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-pro-a1708-13-3-i5-8g-250g/,Integrated,False,False,,13.3,1.4,49,LPDDR4,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
LaptopTech LTS,Macbook Pro A1989 13 3 I5 16G 250G 2,Apple,MacBook,Macbook Pro A1989 13 3 I5 16G 250G 2,Core i5 (8th Gen),16,250,3300,3300,"3,300 ₪",🔒 Soldered BGA NVMe / Unified,Soldered (Non-upgradeable),1.0,12,🟢 In Stock,https://lts.co.il/פריט/macbook-pro-a1989-13-3-i5-16g-250g-2/,Integrated,False,False,,13.3,1.4,49,LPDDR4,chassis_decoder,listing_explicit,chassis_decoder,chassis_decoder,verified
